brand,leapingBunny,peta,bCorp,website
148,,,Y,148.fr
*hype bath & body,Y,,,
*hype nail,Y,,,
1'Lux Beauty,Y,,,
10 Free Chemistry,Y,,,
100% Amazonia,,,Y,100amazonia.com
100% Pure,Y,,,
100% Pure Beauty,Y,,,
1000friends & La Casa de Carlota,,,Y,www.1000friends.es
100km Foods Inc.,,,Y,www.100kmfoods.com
1083 Jeans,,Y,,
10Pines SRL,,,Y,www.10pines.com
10Power,,,Y,10pwr.com
1121 Apothecary,Y,,,
180º Essentials SkinCare,Y,,,
1908 Brands,,,Y,1908brands.com
21 Drops,Y,,,
21gramos,,,Y,21gramos.net
23 Degrees Coffee Roasters,,,Y,www.23degrees.com.au
24Slides,,,Y,24slides.com
25eight Group,,,Y,www.25eight.co
2B Community,,,Y,www.2b-community.com
2nd KIND,Y,,,
2ndliar,,Y,,
3 Phases Renewables,,,Y,3phasesrenewables.com
36 Chambers,,Y,,
361 Degrees Strategic Engagement Services,,,Y,www.361degrees.com.au
3Degrees Group Inc.,,,Y,www.3degreesinc.com
"3P Partners, Inc.",,,Y,pipsrewards.com
3rd Rock Essentials,Y,,,
"3Sisters Sustainable Management, LLC",,,Y,www.3sistersinvest.com
3vectores,,,Y,www.3vectores.com
3x5 Partners,,,Y,www.3x5partners.com
4 Pines Brewing Company,,,Y,4pinesbeer.com.au
4-Legger,Y,,,
4D lab,,,Y,www.4dlab.uy/
4G Capital,,,Y,www.4g-capital.com
4th Bin Inc.,,,Y,www.4thbin.com
4YOU2 Idiomas,,,Y,www.4y2.org
5% Design Action,,,Y,5percent-design-action.com
5T Sports Group,,,Y,www.5tsports.com
62ABOVE,,,Y,theideabrand.com
7 A.M. Enfant,,Y,,
"7group, LLC",,,Y,www.sevengroup.com
7Peaks Brasserie Sarl,,,Y,7peaksbrasserie.ch
7th Heaven,Y,,,
8 Faces,,,,
850zip,,,Y,www.850zip.com
88 – Eighty Eight,,Y,,
8uniquedesign.com,,Y,,
A,Y,,,
A Girl's Gotta Spa!,Y,,,
A Good Company,,,Y,agood.com
A Joy Forever Bath + Body,Y,,,
A La Maison,Y,,,
A Not So Young Woman Abroad,,Y,,
A to Z Candles,Y,,,
A to Z Wineworks,,,Y,www.atozwineworks.com
A Wild Soap Bar,Y,,,
A.H.C,,,,
A.M.Y. Belles Beauty,Y,,,
A&R Solar,,,Y,www.a-rsolar.com
A2Z Beauty,Y,,,
aavrani,Y,,,
AB Skincare,Y,,,
"Abacus Wealth Partners, LLC",,,Y,www.abacuswealth.com/
Abbey Essentials,Y,,,
Abbott NYC,,,,
Abby Rose Skin Care,Y,,,
Abel & Cole,,,Y,www.abelandcole.co.uk
Abhati,,,Y,www.abhati.ch
Abhati Suisse,,,Y,
ABISSAL Capitalismo Saudável,,,Y,www.abissalbrasil.com.br
Abnomaly,Y,,,
Aboca Group,,,Y,www.aboca.it
Above Green LLC,,,Y,www.abovegreen.com
Abreu Advogados,,,Y,www.abreuadvogados.com
Absolute Pilates,,,Y,absolutepilates.co
Abundance Investment,,,Y,www.abundanceinvestment.com
ABURY Collection,,,Y,www.abury.net
Acaderma,Y,,,
AcARRE,Y,,,
AccertaClaim Servicorp Inc.,,,Y,www.accerta.ca
Accès Personnel SA,,,Y,www.acces-personnel.ch
Accessory Headquarters,,Y,,
Acción Verde SAS,,,Y,www.accionverde.org.co/
Accompany,,,Y,accompanyus.com
Acherla,,Y,,
acidlabs,,,Y,acidlabs.design
Acorn Sign Graphics,,,Y,www.acornsign.com
Act+Acre,Y,,,
Action Sustainability Asia Pacific Pty Ltd,,,Y,www.actionsustainability.com.au
Actitudlab,,,Y,www.actitudlab.com
Active CBD Oil,Y,,,
Active Health Group,,,Y,www.activehealthgroup.nl
Active Impact Investments,,,Y,www.activeimpactinvestments.com
Active Wow,Y,,,
ACURE,Y,,,
Acure,Y,,,
Ad Victoriam Solutions,,,Y,www.advictoriamsolutions.com
"Adam Shay CPA, PLLC",,,Y,www.adamshaycpa.com
Adam Smith International,,,Y,www.adamsmithinternational.com
Adara Advisors,,,Y,www.adaragroup.org
Adara Naturals,Y,,,
Adara Partners (Australia) Pty Limited,,,Y,www.adarapartners.org
Address Chic,,Y,,
ADEAS Hr,,,Y,www.adeashr.com
Adelaide,,Y,,
Adélie®️,Y,,,
Adesse New York®,Y,,,
ADKN,,Y,,
ADLIB,,,Y,www.adlib-recruitment.co.uk
Adopt & Embrace,,,Y,adoptandembrace.com
Adorable Baby by Loving Naturals,Y,,,
ADORAtherapy,Y,,,
Adrift Hotels SPC,,,Y,www.adrifthotel.com
Advanced Enviro Systems,,,Y,www.advancedenvirosystems.com
